Source;Target;Weight
16014;85066;2
16015;16014;2
16015;16016;4
16015;20685;2
16015;21390;2
16015;21621;2
16015;21625;2
16015;21714;2
16015;21755;2
16015;22147;2
16015;22150;2
16015;22285;2
16015;22291;2
16015;22293;3
16015;22294;2
16015;22477;2
16015;22479;2
16015;22804;2
16015;22916;2
16015;22917;2
16015;22918;2
16015;22919;2
16015;22920;2
16015;22921;2
16015;23184;2
16015;35970;2
16015;84763;2
16015;84978;2
16015;84971S;2
16015;85194S;2
16016;16014;4
16016;16015;4
16016;21755;2
16016;21891;2
16016;21896;2
16016;22173;2
16016;22285;2
16016;22291;2
16016;22292;2
16016;22293;4
16016;22303;2
16016;22722;2
16016;22845;2
16016;22962;2
16016;22980;2
16016;23243;3
16016;82484;2
16016;84763;2
16016;85066;2
16016;15056BL;2
16016;84971S;2
16016;85194L;2
16016;85194S;3
16045;20984;2
16048;20984;2
16048;21163;2
16048;21616;2
16048;21642;2
16048;22749;2
16048;22752;2
16048;23290;2
16048;51014A;2
16054;20975;2
16054;21932;2
16216;16235;2
16216;21084;2
16216;21090;2
16216;21327;2
16216;21591;2
16216;22110;2
16216;22210;2
16216;22211;2
16216;22333;2
16216;22745;2
16216;22748;2
16216;22750;2
16216;22751;2
16216;23207;2
16216;47503H;2
16216;85099C;2
16218;16235;2
16218;16237;2
16218;20992;2
16218;21914;3
16218;22694;2
16218;22816;2
16218;22972;2
16218;22974;2
16218;23083;2
16218;23289;2
16218;23290;2
16218;23350;3
16218;23352;2
16218;23367;2
16218;84558A;2
16218;84596B;2
16218;84596F;2
16225;16236;2
16225;16237;2
16225;17021;2
16225;20972;2
16225;20982;2
16225;21479;2
16225;21705;2
16225;21744;2
16225;21791;2
16225;21914;3
16225;21915;3
16225;21931;2
16225;22300;2
16225;22301;2
16225;22380;2
16225;22532;2
16225;22553;2
16225;22607;2
16225;22619;2
16225;22632;2
16225;22953;2
16225;22972;2
16225;23103;2
16225;23300;2
16225;23318;2
16225;23356;2
16225;23397;2
16225;23439;2
16225;23461;3
16225;23479;2
16225;23485;2
16225;23502;2
16225;71053;2
16225;84077;3
16225;84946;2
16225;85048;2
16225;85150;2
16225;85034C;2
16225;M;2
16235;16216;2
16235;16218;2
16235;16236;2
16235;16237;2
16235;20761;2
16235;20973;2
16235;20975;4
16235;20982;2
16235;20992;4
16235;21327;2
16235;21452;2
16235;21616;2
16235;21642;2
16235;21990;2
16235;22093;2
16235;22150;2
16235;22210;2
16235;22333;3
16235;22367;2
16235;22534;2
16235;22554;3
16235;22562;2
16235;22563;3
16235;22744;2
16235;22750;2
16235;22751;2
16235;22940;2
16235;22964;2
16235;22972;2
16235;22974;2
16235;22988;2
16235;22996;2
16235;23184;2
16235;23191;2
16235;23290;2
16235;23337;2
16235;23344;2
16235;23356;2
16235;23377;2
16235;23389;2
16235;23493;3
16235;23583;2
16235;35970;2
16235;17012C;2
16235;17012D;2
16235;17012F;2
16235;35095B;2
16235;47503H;2
16235;47591D;2
16235;84032A;2
16235;84032B;2
16235;84596B;3
16235;85034B;2
16235;85034C;2
16235;M;3
16236;16225;2
16236;16235;2
16236;16237;8
16236;16238;4
16236;20674;2
16236;20675;2
16236;20676;2
16236;20985;2
16236;21163;2
16236;21210;3
16236;21232;2
16236;21642;2
16236;21791;2
16236;21828;2
16236;21833;2
16236;21888;3
16236;21892;2
16236;21980;2
16236;21985;4
16236;21986;2
16236;22142;2
16236;22158;2
16236;22210;2
16236;22301;2
16236;22314;2
16236;22382;2
16236;22396;3
16236;22398;2
16236;22400;2
16236;22402;2
16236;22418;2
16236;22431;2
16236;22433;2
16236;22439;2
16236;22473;3
16236;22493;2
16236;22523;2
16236;22534;2
16236;22548;2
16236;22563;2
16236;22614;2
16236;22617;2
16236;22632;2
16236;22633;2
16236;22647;2
16236;22694;2
16236;22713;3
16236;22742;2
16236;22743;2
16236;22748;2
16236;22749;2
16236;22750;2
16236;22755;2
16236;22791;2
16236;22809;2
16236;22940;2
16236;22955;2
16236;22964;2
16236;22996;2
16236;23188;2
16236;23207;2
16236;23232;2
16236;23289;2
16236;23290;2
16236;23308;2
16236;23346;2
16236;23356;2
16236;23377;2
16236;23378;2
16236;23493;2
16236;35970;2
16236;72817;2
16236;72818;2
16236;84012;2
16236;84077;2
16236;85015;2
16236;47594A;3
16236;79191B;2
16236;84032B;2
16236;85040A;2
16236;85099C;2
16236;M;2
16237;10120;3
16237;15036;2
16237;16218;2
16237;16225;2
16237;16235;2
16237;16236;8
16237;16238;5
16237;20674;2
16237;20675;2
16237;20676;2
16237;20725;2
16237;20727;2
16237;20961;3
16237;20963;2
16237;20983;2
16237;20984;2
16237;20985;2
16237;20986;2
16237;21094;2
16237;21108;2
16237;21163;3
16237;21205;2
16237;21221;2
16237;21232;4
16237;21328;3
16237;21448;2
16237;21452;2
16237;21559;2
16237;21726;2
16237;21770;2
16237;21787;2
16237;21790;3
16237;21791;3
16237;21818;3
16237;21828;2
16237;21830;2
16237;21833;2
16237;21888;2
16237;21890;2
16237;21891;4
16237;21892;2
16237;21914;2
16237;21947;2
16237;21982;2
16237;21985;4
16237;21986;2
16237;21993;2
16237;22091;2
16237;22093;2
16237;22094;3
16237;22095;2
16237;22098;2
16237;22131;2
16237;22142;2
16237;22144;2
16237;22147;2
16237;22148;2
16237;22149;2
16237;22158;2
16237;22210;4
16237;22211;2
16237;22300;2
16237;22301;3
16237;22328;2
16237;22333;2
16237;22335;2
16237;22374;2
16237;22382;4
16237;22383;3
16237;22384;3
16237;22396;3
16237;22418;3
16237;22431;2
16237;22432;2
16237;22433;3
16237;22439;2
16237;22440;2
16237;22466;2
16237;22473;2
16237;22493;2
16237;22531;2
16237;22537;2
16237;22548;3
16237;22554;2
16237;22555;3
16237;22560;5
16237;22561;2
16237;22562;4
16237;22563;6
16237;22573;2
16237;22587;3
16237;22600;2
16237;22603;2
16237;22614;2
16237;22616;2
16237;22617;2
16237;22619;2
16237;22620;3
16237;22621;4
16237;22629;3
16237;22630;2
16237;22634;3
16237;22635;4
16237;22647;2
16237;22693;2
16237;22713;2
16237;22727;2
16237;22728;2
16237;22742;2
16237;22743;3
16237;22744;2
16237;22745;3
16237;22746;3
16237;22747;2
16237;22748;4
16237;22749;3
16237;22750;3
16237;22751;2
16237;22752;2
16237;22756;2
16237;22757;3
16237;22758;2
16237;22800;2
16237;22816;2
16237;22834;2
16237;22940;5
16237;22952;2
16237;22955;2
16237;22964;3
16237;22966;2
16237;22970;3
16237;22971;2
16237;22972;2
16237;22974;2
16237;22988;2
16237;22989;2
16237;22996;3
16237;23084;2
16237;23120;2
16237;23122;2
16237;23188;3
16237;23193;2
16237;23207;2
16237;23208;2
16237;23210;2
16237;23232;2
16237;23238;2
16237;23240;2
16237;23241;2
16237;23254;3
16237;23255;2
16237;23256;3
16237;23263;2
16237;23275;2
16237;23289;2
16237;23290;2
16237;23293;2
16237;23294;2
16237;23295;2
16237;23308;2
16237;23309;2
16237;23310;3
16237;23319;2
16237;23322;2
16237;23323;2
16237;23345;2
16237;23346;2
16237;23348;2
16237;23354;3
16237;23356;2
16237;23371;2
16237;23372;3
16237;23378;2
16237;23389;2
16237;23390;2
16237;23392;2
16237;23395;2
16237;23396;2
16237;23461;2
16237;23493;2
16237;23505;2
16237;23506;2
16237;23559;2
16237;23569;2
16237;23571;3
16237;72817;2
16237;84006;2
16237;84012;3
16237;84077;2
16237;84199;2
16237;84347;2
16237;84375;2
16237;84692;3
16237;85227;2
16237;90094;3
16237;10123C;2
16237;35471D;2
16237;47504H;2
16237;47594A;2
16237;47599A;2
16237;79191B;2
16237;84558A;2
16237;85040A;2
16237;85183A;2
16237;M;4
16238;16012;2
16238;16236;4
16238;16237;5
16238;20669;2
16238;20674;2
16238;20675;2
16238;20676;3
16238;20725;2
16238;20748;2
16238;20984;3
16238;20985;3
16238;21125;2
16238;21163;2
16238;21232;2
16238;21385;2
16238;21439;2
16238;21587;2
16238;21591;2
16238;21609;2
16238;21623;2
16238;21812;2
16238;21818;2
16238;21819;2
16238;21820;2
16238;21830;3
16238;21841;2
16238;21866;2
16238;21867;2
16238;21891;2
16238;21914;3
16238;21918;2
16238;21931;2
16238;22158;2
16238;22208;2
16238;22209;2
16238;22210;4
16238;22211;3
16238;22328;2
16238;22371;2
16238;22374;2
16238;22384;2
16238;22385;2
16238;22396;2
16238;22473;2
16238;22491;2
16238;22531;3
16238;22534;2
16238;22537;2
16238;22554;2
16238;22560;3
16238;22562;3
16238;22563;3
16238;22568;2
16238;22619;2
16238;22633;3
16238;22647;2
16238;22694;2
16238;22745;2
16238;22746;2
16238;22749;3
16238;22753;2
16238;22754;2
16238;22785;2
16238;22809;3
16238;22834;2
16238;22844;2
16238;22900;2
16238;22940;3
16238;22952;2
16238;22955;2
16238;22981;2
16238;22996;3
16238;23084;2
16238;23131;2
16238;23154;2
16238;23156;2
16238;23159;2
16238;23188;2
16238;23201;2
16238;23208;2
16238;23290;2
16238;23323;2
16238;23335;2
16238;23337;2
16238;23343;2
16238;23352;2
16238;23353;2
16238;23366;2
16238;23367;3
16238;23389;2
16238;23395;2
16238;23396;2
16238;23493;2
16238;23500;2
16238;84012;2
16238;84050;2
16238;84199;2
16238;84580;2
16238;84581;2
16238;84947;2
16238;16169E;2
16238;16258A;2
16238;47504H;2
16238;72802C;2
16238;79191B;2
16238;84032B;2
16238;84596B;2
16238;85034A;2
16238;90129F;2
17003;15034;3
17003;15036;2
17003;20668;2
17003;20749;2
17003;20755;2
17003;20757;2
17003;20758;2
17003;20760;2
17003;20828;2
17003;20973;2
17003;21169;2
17003;21174;2
17003;21175;2
17003;21383;2
17003;21481;4
17003;21642;3
17003;21644;2
17003;21703;2
17003;21790;2
17003;21888;2
17003;21889;2
17003;21907;2
17003;21908;2
17003;21914;4
17003;21915;3
17003;22114;2
17003;22150;2
17003;22210;2
17003;22212;2
17003;22244;2
17003;22245;2
17003;22291;2
17003;22293;2
17003;22319;2
17003;22331;2
17003;22355;2
17003;22383;2
17003;22412;2
17003;22467;2
17003;22493;2
17003;22571;2
17003;22637;3
17003;22645;2
17003;22646;2
17003;22663;2
17003;22721;2
17003;22744;2
17003;22751;2
17003;22752;5
17003;22759;2
17003;22804;2
17003;22808;2
17003;22835;2
17003;22895;2
17003;22946;2
17003;23101;2
17003;23126;3
17003;23158;2
17003;23234;2
17003;23310;2
17003;23350;2
17003;23356;2
17003;23506;2
17003;35648;2
17003;37413;2
17003;71053;2
17003;71477;2
17003;72819;2
17003;82482;2
17003;82600;2
17003;84199;2
17003;84380;2
17003;85066;2
17003;85173;2
17003;15044D;2
17003;17090A;2
17003;72351A;3
17003;72351B;3
17003;84029E;2
17003;84406B;2
17003;84536A;2
17003;84559B;2
17003;85034C;3
17003;85049A;2
17003;85049G;2
17003;85184C;2
17003;90160A;2
17003;90160B;2
17003;90160C;2
17003;90160D;2
17003;M;2
17021;16225;2
17021;21213;2
17021;21755;2
17021;22300;2
17021;22301;2
17021;22412;3
17021;22553;2
17021;22816;2
17021;23182;2
17021;23309;2
17021;71053;2
17021;84077;2
17021;84946;3
17021;M;2
20615;20652;3
20615;21169;2
20615;21832;2
20615;21864;2
20615;21865;2
20615;21866;2
20615;21867;2
20615;22660;2
20615;22900;2
20615;22996;2
20615;22998;2
20618;20655;2
20618;20659;2
20618;21866;2
20619;21787;2
20622;21591;2
20622;21864;4
20622;21865;3
20622;21867;2
20622;22837;2
20622;72802C;3
20622;84032B;2
20652;20615;3
20652;20975;2
20652;21832;2
20652;21866;2
20652;21867;2
20652;22419;2
20652;22421;2
20652;22632;2
20652;22835;2
20652;22900;2
20652;22940;2
20652;23356;2
20655;20618;2
20655;20659;2
20655;21866;2
20657;20659;2
20657;20669;2
20657;20828;2
20657;21865;2
20657;21866;2
20657;21867;3
20657;22752;2
20657;22755;2
20658;20669;2
20658;20719;2
20658;20724;3
20658;20725;2
20658;21041;2
20658;21121;2
20658;21154;3
20658;21155;2
20658;21210;3
20658;21706;2
20658;21746;2
20658;21844;2
20658;21931;2
20658;21936;2
20658;21985;2
20658;22078;2
20658;22079;2
20658;22094;2
20658;22131;2
20658;22508;2
20658;22584;2
20658;22626;3
20658;22667;3
20658;22808;2
20658;22988;2
20658;82583;2
20658;84378;3
20658;84380;2
20658;84991;2
20658;84992;2
20658;85049C;2
20658;85049E;2
20659;20618;2
20659;20655;2
20659;20657;2
20659;21866;3
20659;21867;2
20665;20749;2
20665;20750;2
20665;21174;2
20665;21484;2
20665;21746;2
20665;22180;2
20665;22188;2
20665;22551;2
20665;22554;2
20665;22926;2
20665;71459;2
20665;15060B;2
20665;16161P;2
20668;17003;2
20668;20669;2
20668;20828;2
20668;21175;2
20668;21232;2
20668;21326;2
20668;21463;3
20668;21464;2
20668;21506;2
20668;21823;2
20668;21824;2
20668;21931;2
20668;22075;2
20668;22095;2
20668;22109;3
20668;22412;2
20668;22583;2
20668;22584;2
20668;22632;2
20668;22633;2
20668;22900;2
20668;22950;2
20668;22972;2
20668;23083;2
20668;23169;2
20668;23201;2
20668;23225;2
20668;23275;2
20668;23365;2
20668;23369;2
20668;23371;2
20668;23503;2
20668;23535;2
20668;79321;2
20668;82600;2
20668;85152;2
20668;84559B;2
20668;84707A;2
20668;85099F;3
20669;16238;2
20669;20657;2
20669;20658;2
20669;20668;2
20669;20757;2
20669;20758;2
20669;20761;2
20669;20762;2
20669;20828;2
20669;20985;2
20669;21163;2
20669;21506;2
20669;21677;2
20669;21865;3
20669;21866;3
20669;21867;4
20669;21932;2
20669;21933;2
20669;21985;2
20669;21992;3
20669;22075;2
20669;22095;2
20669;22109;2
20669;22131;2
20669;22132;2
20669;22375;2
20669;22417;2
20669;22476;2
20669;22633;2
20669;22652;2
20669;22752;2
20669;22900;2
20669;22952;2
20669;22988;2
20669;23084;2
20669;23308;2
20669;23337;2
20669;23356;2
20669;23369;2
20669;23503;2
20669;84992;2
20669;72802C;2
20669;75049L;2
20669;85035A;2
20669;85049A;2
20669;85049G;2
20669;85099F;2
20669;90129F;2
20674;16236;2
20674;16237;2
20674;16238;2
20674;20675;11
20674;20676;13
20674;20677;10
20674;20712;2
20674;20749;2
20674;20762;2
20674;20828;2
20674;20975;2
20674;20985;2
20674;21056;2
20674;21086;2
20674;21094;2
20674;21122;2
20674;21126;2
20674;21172;3
20674;21210;2
20674;21232;2
20674;21238;5
20674;21239;2
20674;21240;3
20674;21242;5
20674;21243;2
20674;21244;3
20674;21245;7
20674;21246;2
20674;21389;2
20674;21452;2
20674;21528;3
20674;21534;2
20674;21623;2
20674;21715;3
20674;21716;2
20674;21754;2
20674;21770;2
20674;21791;2
20674;21828;2
20674;21868;2
20674;21914;2
20674;21932;2
20674;22085;2
20674;22088;2
20674;22090;2
20674;22093;2
20674;22141;2
20674;22142;2
20674;22296;2
20674;22302;2
20674;22303;2
20674;22315;2
20674;22326;4
20674;22328;3
20674;22371;2
20674;22372;2
20674;22374;3
20674;22384;2
20674;22385;2
20674;22416;2
20674;22467;2
20674;22495;2
20674;22554;2
20674;22555;2
20674;22566;2
20674;22617;2
20674;22629;2
20674;22631;2
20674;22646;2
20674;22652;2
20674;22659;2
20674;22725;2
20674;22726;3
20674;22727;2
20674;22729;2
20674;22739;2
20674;22748;2
20674;22749;3
20674;22759;2
20674;22804;2
20674;22809;2
20674;22816;3
20674;22818;3
20674;22894;2
20674;22895;2
20674;22908;3
20674;22940;2
20674;22941;3
20674;22988;2
20674;23154;2
20674;23156;2
20674;23159;2
20674;23188;2
20674;23193;2
20674;23201;2
20674;23254;2
20674;23255;2
20674;23256;2
20674;23286;2
20674;23288;3
20674;23335;2
20674;23350;2
20674;23500;3
20674;37370;2
20674;37475;2
20674;79321;2
20674;82551;2
20674;82582;2
20674;82583;2
20674;84199;2
20674;84945;4
20674;84969;2
20674;47504H;2
20674;47590B;2
20674;47599A;2
20674;84596B;3
20674;84596F;2
20674;84968C;2
20674;84997A;3
20674;84997C;4
20674;84997D;3
20674;85114B;2
20675;16236;2
20675;16237;2
20675;16238;2
20675;20674;11
20675;20676;12
20675;20677;11
20675;20685;2
20675;20985;2
20675;21056;2
20675;21059;2
20675;21061;2
20675;21122;2
20675;21126;2
20675;21166;2
20675;21172;2
20675;21232;2
20675;21238;7
20675;21239;4
20675;21240;6
20675;21242;5
20675;21243;3
20675;21244;5
20675;21245;6
20675;21328;2
20675;21389;2
20675;21407;2
20675;21428;2
20675;21452;2
20675;21528;2
20675;21623;2
20675;21715;3
20675;21754;3
20675;21755;2
20675;21791;3
20675;21828;2
20675;21900;2
20675;21916;2
20675;21932;2
20675;21986;2
20675;22093;2
20675;22141;2
20675;22189;2
20675;22296;4
20675;22297;2
20675;22328;2
20675;22367;2
20675;22371;2
20675;22372;2
20675;22374;3
20675;22384;2
20675;22385;2
20675;22413;2
20675;22467;3
20675;22472;2
20675;22514;2
20675;22517;2
20675;22534;2
20675;22565;2
20675;22566;2
20675;22580;2
20675;22587;2
20675;22617;2
20675;22652;2
20675;22665;2
20675;22723;2
20675;22726;2
20675;22736;2
20675;22738;2
20675;22739;2
20675;22749;3
20675;22759;2
20675;22767;3
20675;22768;2
20675;22804;3
20675;22809;2
20675;22816;2
20675;22818;2
20675;22894;2
20675;22895;2
20675;22908;2
20675;22940;3
20675;22941;2
20675;22988;2
20675;23154;3
20675;23156;2
20675;23159;3
20675;23188;2
20675;23193;2
20675;23201;2
20675;23254;2
20675;23255;2
20675;23256;2
20675;23286;2
20675;23288;2
20675;23349;2
20675;23350;3
20675;23353;2
20675;23354;2
20675;23500;2
20675;37475;2
20675;72741;2
20675;82482;2
20675;82552;2
20675;84199;2
20675;84755;2
20675;84945;5
20675;46000S;2
20675;47590B;2
20675;84032B;2
20675;84510A;2
20675;84596B;2
20675;84596F;3
20675;84997A;3
20675;84997B;2
20675;84997C;3
20675;84997D;3
20675;M;2
20676;16236;2
20676;16237;2
20676;16238;3
20676;20674;13
20676;20675;12
20676;20677;10
20676;20685;2
20676;20712;2
20676;20718;3
20676;20725;4
20676;20749;2
20676;20761;2
20676;20762;2
20676;20828;2
20676;20971;2
20676;20975;2
20676;20985;2
20676;21035;2
20676;21039;3
20676;21041;2
20676;21056;2
20676;21086;3
20676;21094;3
20676;21121;2
20676;21122;2
20676;21124;2
20676;21125;2
20676;21126;2
20676;21172;3
20676;21175;2
20676;21210;2
20676;21217;2
20676;21232;2
20676;21238;12
20676;21239;4
20676;21240;5
20676;21242;13
20676;21243;4
20676;21244;5
20676;21245;6
20676;21246;3
20676;21380;2
20676;21385;2
20676;21389;2
20676;21394;2
20676;21452;2
20676;21498;2
20676;21528;3
20676;21533;2
20676;21534;2
20676;21535;2
20676;21592;2
20676;21616;2
20676;21620;2
20676;21621;2
20676;21715;3
20676;21716;3
20676;21718;2
20676;21731;2
20676;21742;3
20676;21754;3
20676;21755;2
20676;21791;4
20676;21810;2
20676;21828;2
20676;21843;2
20676;21900;2
20676;21906;2
20676;21914;3
20676;21916;3
20676;21922;2
20676;21926;2
20676;21932;2
20676;21936;2
20676;21974;2
20676;21985;2
20676;21986;2
20676;22030;2
20676;22057;2
20676;22082;2
20676;22090;2
20676;22093;2
20676;22141;2
20676;22142;2
20676;22219;2
20676;22270;2
20676;22294;2
20676;22296;4
20676;22297;2
20676;22302;2
20676;22303;4
20676;22305;2
20676;22315;3
20676;22326;4
20676;22328;2
20676;22367;2
20676;22371;2
20676;22372;2
20676;22374;3
20676;22376;2
20676;22384;3
20676;22385;3
20676;22425;2
20676;22429;2
20676;22456;2
20676;22466;2
20676;22467;5
20676;22472;2
20676;22495;2
20676;22514;2
20676;22517;2
20676;22534;3
20676;22551;2
20676;22554;3
20676;22555;2
20676;22565;2
20676;22566;3
20676;22571;2
20676;22580;2
20676;22586;2
20676;22587;3
20676;22595;2
20676;22602;2
20676;22605;2
20676;22617;2
20676;22619;2
20676;22628;2
20676;22632;4
20676;22637;2
20676;22644;3
20676;22646;3
20676;22652;2
20676;22665;2
20676;22667;3
20676;22669;2
20676;22694;2
20676;22722;2
20676;22723;2
20676;22725;3
20676;22726;3
20676;22727;4
20676;22728;2
20676;22729;2
20676;22739;3
20676;22748;2
20676;22749;4
20676;22776;3
20676;22804;2
20676;22809;2
20676;22816;2
20676;22818;2
20676;22819;2
20676;22847;2
20676;22891;2
20676;22895;2
20676;22898;2
20676;22900;2
20676;22908;2
20676;22940;4
20676;22941;4
20676;22988;2
20676;22989;2
20676;22992;2
20676;23078;2
20676;23109;2
20676;23154;3
20676;23156;2
20676;23159;3
20676;23188;2
20676;23192;2
20676;23193;2
20676;23201;5
20676;23203;2
20676;23205;2
20676;23254;2
20676;23255;2
20676;23256;2
20676;23284;2
20676;23286;2
20676;23288;3
20676;23290;2
20676;23313;2
20676;23323;2
20676;23335;2
20676;23349;2
20676;23350;3
20676;23351;2
20676;23352;3
20676;23353;2
20676;23357;2
20676;23389;2
20676;23395;2
20676;23493;2
20676;23500;3
20676;23501;2
20676;23559;2
20676;23695;3
20676;35970;2
20676;37370;2
20676;37475;2
20676;40001;2
20676;72741;3
20676;82482;2
20676;82583;2
20676;84199;2
20676;84755;2
20676;84945;3
20676;84947;2
20676;84969;2
20676;85066;2
20676;16169E;2
20676;47504H;2
20676;47590B;3
20676;47599A;2
20676;51014C;2
20676;51014L;2
20676;79191B;2
20676;79191C;2
20676;79191D;2
20676;84029E;2
20676;84029G;2
20676;84510A;2
20676;84596B;5
20676;84596F;3
20676;84968C;2
20676;84997A;2
20676;84997B;3
20676;84997C;4
20676;84997D;4
20676;85039B;2
20676;85049A;2
20676;85049E;2
20676;M;2
20677;20674;10
20677;20675;11
20677;20676;10
20677;20712;2
20677;20718;2
20677;20725;2
20677;21056;2
20677;21059;2
20677;21061;2
20677;21086;2
20677;21094;2
20677;21122;2
20677;21126;2
20677;21166;2
20677;21172;2
20677;21232;2
20677;21238;5
20677;21239;4
20677;21240;4
20677;21242;4
20677;21243;6
20677;21244;4
20677;21245;4
20677;21389;3
20677;21428;2
20677;21508;2
20677;21528;2
20677;21609;2
20677;21618;2
20677;21623;2
20677;21715;2
20677;21716;2
20677;21741;2
20677;21754;3
20677;21755;2
